"Facility Name",Facility,FacilityType,Owner,Developer,EnergyPurchaser,Place,GeneratingCapacity,NumberOfUnits,CommercialOnlineDate,WindTurbineManufacturer,FacilityStatus,Coordinates
"NCCI Gardner Dept of Correction","NCCI Gardner Dept of Correction","Community Wind","Department of Corrections - Division of Capital Asset Management for the Commonwealth of MA","Department of Corrections - Division of Capital Asset Management for the Commonwealth of MA","Distributed generation - net metered","Westminster MA","3.3 MW",2,2011,Vestas,"In Service","42.5800°, -71.9378°"
NEXGEN,NEXGEN,,,,,"Richland County, OH","0.1 MW",1,2010,"Northern Power Systems",,"40.7639°, -82.6433°"
NORESCO,NORESCO,,,,,"Howard County, TX","0.1 MW",1,2009,"Northern Power Systems",,"32.2275°, -101.5075°"
"NREL - Alstom","NREL - Alstom",,,,,"Jefferson County, CO","10.1 MW",7,2011,Alstom,,"39.9103°, -105.2211°"
"NREL - GE","NREL - GE",,,,,"Jefferson County, CO","10.1 MW",7,2009,"GE Wind",,"39.9119°, -105.2200°"
"NREL - Gamesa","NREL - Gamesa",,,,,"Jefferson County, CO","10.1 MW",7,2011,Gamesa,,"39.9050°, -105.2269°"
"NREL - Northern Power","NREL - Northern Power",,,,,"Jefferson County, CO","10.1 MW",7,,"Northern Power Systems",,"39.9117°, -105.2317°"
"NREL - Siemens","NREL - Siemens",,,,,"Jefferson County, CO","10.1 MW",7,2009,Siemens,,"39.9061°, -105.2228°"
"NREL - Westinghouse","NREL - Westinghouse",,,,,"Jefferson County, CO","10.1 MW",7,,Westinghouse,,"39.9089°, -105.2228°"
"NREL Research Wind Farm I","NREL Research","Commercial Scale Wind",,"National Renewable Energy Laboratory",,"South of Boulder CO","1.5 MW",1,2009,"GE Energy","In Service","39.9078°, -105.2233°"
"NREL Research Wind Farm II","NREL Research","Commercial Scale Wind",,"National Renewable Energy Laboratory",,"South of Boulder CO","2.3 MW",1,2009,Siemens,"In Service","39.9086°, -105.2233°"
"Nantucket School","Nantucket School","Definition:Small Scale Wind","Nantucket School",,"Nantucket School","Nantucket MA","0.1 MW",1,2010,"Northern Power Systems","In Service","41.2722°, -70.0978°"
"Nature's Classroom Wind Turbine","Nature's Classroom Wind Turbine","Definition:Small Scale Wind","Nature's Classroom",,"Nature's Classroom","Charlton MA","0.1 MW",1,2009,"Northern Power Systems","In Service","42.1136°, -72.0086°"
"NedPower Mount Storm II Wind Farm","NedPower Mount Storm II","Commercial Scale Wind","Shell Wind Energy/Dominion Energy","NedPower/Shell Wind Energy/Dominion Energy","Dominion Energy","Grant County WV","100 MW",50,2008,Gamesa,"In Service","39.2514°, -79.1789°"
"NedPower Mount Storm Wind Farm","NedPower Mount Storm","Commercial Scale Wind","Shell Wind Energy/Dominion Energy","NedPower/Shell Wind Energy/Dominion Energy","Dominion Energy","Grant County WV","164 MW",82,2008,Gamesa,"In Service","39.2514°, -79.1789°"
"Neppel Wind Power Project","Neppel Wind Power Project","Commercial Scale Wind",,"Alliant Energy","Alliant/IES Utilities","Armstrong IA","1.5 MW",1,2004,Vestas,"In Service","43.4019°, -94.5789°"
"Nestle Waters","Nestle Waters","Community Wind","Foundation Windpower","Foundation Windpower","Nestle Waters","Cabazon CA","3 MW",2,2012,"GE Energy","In Service","33.9169°, -116.7500°"
"Nevada High School Wind Farm","Nevada High School","Community Wind","Nevada High School","Minnesota Windpower","Alliant/IES Utilities","NV - Story County IA","0.5 MW",2,1998,WindWorld,"In Service","42.0208°, -93.4361°"
"New Creek Wind","New Creek Wind",,,,,"Grant County, WV","94.5 MW",45,2016,Gamesa,,"39.2350°, -79.1242°"
"New England Tech Wind Turbine","New England Tech Wind Turbine","Definition:Small Scale Wind","New England Institute of Technology",,"New England Institute of Technology","Warwick RI","0.1 MW",1,2009,,"In Service","41.7328°, -71.4514°"
"New Harvest","New Harvest","Commercial Scale Wind","Iberdrola Renewables","Iberdrola Renewables","ComEd and Ameren Illinois","Schleswig IA","100 MW",50,2012,Gamesa,"In Service","42.1619°, -95.4469°"
"New London","New London","Commercial Scale Wind",,"Shermco Industries",,"New London IA","1.5 MW",1,2011,VENSYS,"In Service","40.9547°, -91.3950°"
"New Mexico Wind Energy Center","New Mexico Wind Energy Center","Commercial Scale Wind","NextEra Energy Resources","NextEra Energy Resources","Public Service New Mexico","Quay & DeBaca Counties NM","204 MW",136,2003,"GE Energy","In Service","34.5483°, -104.0842°"
"New York State Thruway Authority Wind","New York State Thruway Authority Wind",,,,,"Chautauqua County, NY","1.1 MW",4,2015,Vergnet,,"42.4606°, -79.3097°"
"Newport Nearshore Windpark","Newport Nearshore Windpark","Offshore Wind","Delsea Energy","Delsea Energy",,"Delaware Bay offshore from Cumberland County NJ","381.6 MW",106,,Siemens,Proposed,"39.2000°, -75.2400°"
"Nine Canyon III Wind Farm","Nine Canyon III","Commercial Scale Wind","Energy Northwest","Energy Northwest/RES Americas","Energy Northwest",,"32.2 MW",14,2008,Siemens,"In Service","46.2861°, -119.4256°"
"Nine Canyon Wind Farm","Nine Canyon Wind Farm","Commercial Scale Wind","Energy Northwest","Energy Northwest","Energy Northwest","Benton County","48.1 MW",37,2002,Bonus,"In Service","46.2861°, -119.4256°"
"Nine Canyon Wind Farm Phase II","Nine Canyon Wind Farm Phase II","Commercial Scale Wind","Energy Northwest","Energy Northwest","Energy Northwest","Benton County","15.6 MW",12,2003,Bonus,"In Service","46.2861°, -119.4256°"
Ninnescah,Ninnescah,,,,,"Pratt County, KS","190.365 MW",111,2016,"GE Wind",,"37.5758°, -98.6089°"
"No Fossil Fuel - Kingston","No Fossil Fuel - Kingston","Commercial Scale Wind","No Fossil Fuel LLC","No Fossil Fuel LLC",Net-metered,"Kingston MA","6 MW",3,2012,Gamesa,"In Service","41.9739°, -70.7258°"
"Noble Altona Wind Park","Noble Altona Wind Park","Commercial Scale Wind","Noble Environmental Power","Noble Environmental Power",,"Clinton County NY","97.5 MW",65,2009,"GE Energy","In Service","44.8314°, -73.6639°"
"Noble Bellmont Wind Farm","Noble Bellmont","Commercial Scale Wind","Noble Environmental Power","Noble Environmental Power",,"Franklin County NY","21 MW",14,,"GE Energy","Under Construction","44.7667°, -74.0942°"
"Noble Bliss Windpark","Noble Bliss Windpark","Commercial Scale Wind","Noble Environmental Power","Noble Environmental Power",,"WY County NY","100.5 MW",67,2008,"GE Energy","In Service","42.5714°, -78.2431°"
"Noble Chateaugay Wind Farm","Noble Chateaugay","Commercial Scale Wind","Noble Environmental Power","Noble Environmental Power",,"Franklin County NY","106.5 MW",71,2009,"GE Energy","In Service","44.9250°, -74.0000°"
"Noble Clinton Windpark","Noble Clinton Windpark","Commercial Scale Wind",,"Noble Environmental Power",,"Clinton County NY","100.5 MW",67,2008,"GE Energy","In Service","44.8286°, -73.6689°"
"Noble Ellenburg Windpark","Noble Ellenburg Windpark","Commercial Scale Wind","Noble Environmental Power","Noble Environmental Power",,"Clinton County NY","81 MW",54,2008,,"In Service","44.9233°, -73.9964°"
"Noble Wethersfield Wind Farm","Noble Wethersfield","Commercial Scale Wind","Noble Environmental Power","Noble Environmental Power",,NY,"126 MW",84,2009,"GE Energy","In Service","42.6847°, -78.2458°"
"Nobles Wind Farm",Nobles,"Commercial Scale Wind","Nobles Cooperative Electric","Nobles Cooperative Electric",N/A,"Brewster MN","2.1 MW",1,2008,"Suzlon Energy Company","In Service","43.7033°, -95.4581°"
"Nobles Wind Farm II","Nobles Wind Farm II","Commercial Scale Wind","Xcel Energy",EnXco,"Xcel Energy","Nobles County MN","201 MW",134,2010,"GE Energy","In Service","43.6831°, -95.7283°"
"Nome Newton Peak","Nome Newton Peak",,,,,"Nome Census Area, AK","1.8 MW",2,2013,EWT,,"64.5703°, -165.4264°"
"Nome Wind Farm",Nome,"Commercial Scale Wind","Bering Straits Native Corp. and Sitnasuak Native Corp.","Western Community Energy",,"Nome AK","0.9 MW",18,2008,Entegrity,"In Service","64.5011°, -165.4064°"
"Nordex Energy","Nordex Energy",,,,,"Riverside County, CA","10 MW",10,2000,Nordex,,"33.9422°, -116.6328°"
"North Allegheny Wind Farm","North Allegheny","Commercial Scale Wind","Duke Energy Carolinas LLC","Duke Energy Carolinas LLC",FirstEnergy,"Juniata Township PA","70 MW",35,2009,Gamesa,"In Service","40.3936°, -78.5492°"
"North Dakota Wind I Wind Farm","North Dakota Wind I","Commercial Scale Wind","NextEra Energy Resources","NextEra Energy Resources","Basin Electric","Edgeley/Kulm ND","40.5 MW",27,2003,"GE Energy","In Service","46.3192°, -98.8908°"
"North Dakota Wind II Wind Farm","North Dakota Wind II","Commercial Scale Wind","NextEra Energy Resources","NextEra Energy Resources","Otter Tail Power Coop.","Edgeley/Kulm ND","21 MW",14,2003,"GE Energy","In Service","46.2928°, -98.8817°"
"North Hurlburt","North Hurlburt",,,,,"Gilliam County, OR","60 MW",24,2012,"GE Wind",,"45.7528°, -120.0881°"
"North Kingstown Green","North Kingstown Green",,,,,"Washington County, RI","1.5 MW",1,2012,Goldwind,,"41.5817°, -71.4869°"
"North Newton School Corp","North Newton School Corp","Community Wind","North Newton School Corp","Performance Services",Net-metered,"Morocco IN","0.9 MW",1,2012,PowerWind,"In Service","41.0325°, -87.4269°"
"North Shaokatan Wind Farm","North Shaokatan Wind Farm","Commercial Scale Wind","NAE/Enel North America","Northern Alternative Energy","Xcel Energy","Lincoln County MN","11.88 MW",18,2000,Vestas,"In Service","44.3931°, -96.4250°"
"North Sky River","North Sky River","Commercial Scale Wind","NextEra Energy Resources","NextEra Energy Resources","Pacific Gas & Electric","Tehachapi, California","160 MW",100,2012,"GE Energy","In Service","35.3356°, -118.1864°"
"Northern Colorado Wind Energy Center (GE)","Northern Colorado Wind Energy Center (GE)","Commercial Scale Wind","NextEra Energy","NextEra Energy","Xcel Energy","Logan County CO","22.5 MW",15,2009,"GE Energy","In Service","40.9744°, -103.0253°"
"Northern Colorado Wind Energy Center (Siemens)","Northern Colorado Wind Energy Center (Siemens)","Commercial Scale Wind","NextEra Energy","NextEra Energy","Xcel Energy","Logan County CO","151.8 MW",66,2009,Siemens,"In Service","40.9744°, -103.0253°"
"Northwestern School Corp","Northwestern School Corp","Community Wind","Northwestern School Corp","Performance Services",Net-metered,"Kokomo IN","0.9 MW",1,2012,PowerWind,"In Service","40.5233°, -86.2044°"
"Notrees 1A (Vestas) Wind Farm","Notrees 1A (Vestas)","Commercial Scale Wind","Duke Energy Carolinas LLC","Duke Energy Carolinas LLC",,"Ector and Winkler Counties TX","90.75 MW",55,2009,Vestas,"In Service","31.9253°, -102.7228°"
"Notrees 1B (GE Energy) Wind Farm","Notrees 1B (GE Energy)","Commercial Scale Wind","Duke Energy Carolinas LLC","Duke Energy Carolinas LLC",,TX,"60 MW",40,2009,"GE Energy","In Service","31.9664°, -102.8975°"
"Notrees 1C (Vestas) Wind Farm","Notrees 1C (Vestas)","Commercial Scale Wind","Duke Energy Carolinas LLC","Duke Energy Carolinas LLC",,TX,"1.87 MW",1,2009,Vestas,"In Service","31.9686°, -99.9019°"
"Notus Falmouth Technology Park","Notus Falmouth Technology Park","Commercial Scale Wind","Notus Clean Energy","Notus Clean Energy",,"East Falmouth MA","1.65 MW",1,2010,Vestas,"In Service","41.6058°, -70.6208°"
O'Brien,O'Brien,,,,,"O'Brien County, IA","30.498 MW",13,2016,Siemens,,"43.2025°, -95.6861°"
"ONU Wind","ONU Wind",,,,,"Hardin County, OH","1.2 MW",3,2010,Turbowinds,,"40.7747°, -83.8358°"
"OU Spirit Wind Farm","OU Spirit Wind Farm","Commercial Scale Wind","CPV Renewable Energy","CPV Renewable Energy Company","Oklahoma Gas & Electric","Woodward County OK","101 MW",44,2009,Siemens,"In Service","36.2453°, -99.4331°"
"Oak Creek - Phase 2A","Oak Creek - Phase 2A","Commercial Scale Wind","Oak Creek Energy Systems","M&N Wind Power/Oak Creek Energy Systems","Southern California Edison Co","Tehachapi, California","1.6 MW",2,1999,"NEG Micon","In Service","35.0767°, -118.2553°"
"Oak Creek Energy Systems","Oak Creek Energy Systems",,,,,"Kern County, CA","7.927 MW",19,1997,"NEG Micon",,"35.0333°, -118.3539°"
"Oak Creek Energy Systems Wind Farm I","Oak Creek Energy Systems","Commercial Scale Wind","Oak Creek Energy Systems","Oak Creek Energy Systems","Southern California Edison Co","Tehachapi, California","3.46 MW",36,,Micon,"In Service","35.0767°, -118.2553°"
"Oak Creek Energy Systems Wind Farm II","Oak Creek Energy Systems","Commercial Scale Wind","Oak Creek Energy Systems","Oak Creek Energy Systems","Southern California Edison Co","Tehachapi, California","1.35 MW",1,2002,"NEG Micon","In Service","35.0767°, -118.2553°"
"Oak Creek Energy Systems Wind Farm III","Oak Creek Energy Systems","Commercial Scale Wind","Oak Creek Energy Systems","Oak Creek Energy Systems","Southern California Edison Co","Tehachapi, California","0.8 MW",1,2002,"NEG Micon","In Service","35.0767°, -118.2553°"
"Oak Creek Phase I Wind Farm","Oak Creek Phase I","Commercial Scale Wind","Nichimen America/Oak Creek Energy Systems","M&N Wind Power/Oak Creek Energy Systems","Southern California Edison Co","Tehachapi, California","4.2 MW",7,1997,"NEG Micon","In Service","35.0767°, -118.2553°"
"Oak Creek Wind Power Phase 2 Wind Farm","Oak Creek Wind Power Phase 2","Commercial Scale Wind",Caithness,"M&N Wind Power/Oak Creek Energy Systems","Southern California Edison Co","Tehachapi, California","23.1 MW",33,1999,"NEG Micon","In Service","35.0767°, -118.2553°"
"Oak Glen Wind Project","Oak Glen Wind Project","Commercial Scale Wind","Minnesota Municipal Power Authority","Avant Energy","Minnesota Municipal Power Authority","Blooming Prairie MN","43.2 MW",24,2011,Vestas,"In Service","43.9167°, -93.1239°"
"Oak Tree","Oak Tree",,,,,"Clark County, SD","19.5 MW",11,2014,"GE Wind",,"44.9472°, -97.7531°"
"Oakfield Wind","Oakfield Wind",,,,,"Aroostook County, ME","147.6 MW",48,2015,Vestas,,"46.0833°, -68.1183°"
"Oasis Power Partners Wind Farm","Oasis Power Partners","Commercial Scale Wind",EnXco,EnXco,"San Diego Gas & Electric","Tehachapi, California","60 MW",60,2004,Mitsubishi,"In Service","35.0767°, -118.2553°"
Ocotillo,Ocotillo,"Commercial Scale Wind","Duke Energy","Duke Energy",,"Big Spring TX","58.5 MW",28,2008,"Suzlon Energy Company","In Service","32.1322°, -101.4208°"
"Ocotillo Wind I","Ocotillo Wind I","Commercial Scale Wind","Pattern Energy","Pattern Energy","San Diego Gas & Electric","Ocotillo CA","227.78 MW",96,2012,Siemens,"In Service","32.7494°, -116.0389°"
"Ocotillo Wind I Expansion","Ocotillo Wind I Expansion","Commercial Scale Wind","Pattern Energy","Pattern Energy","San Diego Gas & Electric","Ocotillo CA","42.66 MW",18,,Siemens,"Under Construction","32.7631°, -116.0467°"
"Octotillo Wind Farm","Octotillo Wind Farm","Commercial Scale Wind","Duke Energy Carolinas LLC","Duke Energy Carolinas LLC",,"Howard County TX","58.8 MW",28,2008,"Suzlon Energy Company","In Service","32.2092°, -101.4136°"
Odell,Odell,,,,,"Jackson County, MN","200 MW",100,2016,Vestas,,"43.8239°, -94.9906°"
"Odin Wind Farm",Odin,"Commercial Scale Wind","Edison Mission Group/Rahn Group","Edison Mission Group/Rahn Group","Missouri River Energy Services",MN,"21 MW",10,2008,"Suzlon Energy Company","In Service","43.8086°, -94.8250°"
"Oklahoma Wind Energy Center - A","Oklahoma Wind Energy Center - A","Commercial Scale Wind","NextEra Energy Resources","NextEra Energy Resources","Oklahoma Muncipal Power Authority","Woodward OK","51 MW",34,2003,"GE Energy","In Service","36.6050°, -99.3278°"
"Oklahoma Wind Energy Center - B","Oklahoma Wind Energy Center - B","Commercial Scale Wind","NextEra Energy Resources","NextEra Energy Resources","Oklahoma Gas & Electric","Woodward OK","51 MW",34,2003,"GE Energy","In Service","36.5864°, -99.3100°"
"Old Settler Wind","Old Settler Wind",,,,,"Floyd County, TX","151.2 MW",63,2017,"GE Wind",,"34.0183°, -101.0883°"
"Oliver II Wind Farm","Oliver II","Commercial Scale Wind","NextEra Energy Resources","NextEra Energy Resources","Minnesota Power",ND,"48 MW",32,2007,"GE Energy","In Service","47.1806°, -101.2250°"
"Oliver III","Oliver III",,,,,"Morton County, ND","8.95 MW",5,2017,"GE Wind",,"46.9450°, -101.1931°"
"Oliver Wind Energy Center","Oliver Wind Energy Center","Commercial Scale Wind","NextEra Energy Resources","NextEra Energy Resources","Minnesota Power","Oliver County ND","50.6 MW",22,2006,Siemens,"In Service","47.1806°, -101.2250°"
"Olsen Wind Farm","Olsen Wind Farm","Commercial Scale Wind",Olsens,"Olsens with Dan Juhl","Xcel Energy","Near Ihlen MN","1.5 MW",2,2001,"NEG Micon","In Service","43.9106°, -96.3697°"
"Omaha Wind Project","Omaha Wind Project","Commercial Scale Wind","Omaha Public Power District","Omaha Public Power District","Omaha Public Power District","Near Omaha NE","0.66 MW",1,2001,Vestas,"In Service","41.2567°, -95.9278°"
"Orangeville Wind","Orangeville Wind",,,,,"Wyoming County, NY","84.24 MW",52,2013,"GE Wind",,"42.7800°, -78.2036°"
"Oregon Trail Wind Park","Oregon Trail Wind Park","Commercial Scale Wind",Exergy,Exergy,"Idaho Power / Reunion Power","Twin Falls County ID","13.5 MW",9,2010,"GE Energy","In Service","42.9278°, -114.9192°"
Origin,Origin,,,,,"Murray County, OK","150 MW",75,2014,Vestas,,"34.4353°, -97.2761°"
"Osage Municipal Utilities Wind","Osage Municipal Utilities Wind","Commercial Scale Wind","Osage Municipal Utilities","Osage Municipal Utilities","Osage Municipal Utilities","West of Osage IA","1.5 MW",1,2009,"GE Energy","In Service","43.2983°, -92.8408°"
"Osage Wind","Osage Wind",,,,,"Osage County, OK","150.36 MW",84,2015,"GE Wind",,"36.7222°, -96.6036°"
Osborn,Osborn,,,,,"DeKalb County, MO","184.8 MW",88,2016,"GE Wind",,"39.7508°, -94.3881°"
"Other World Computing","Other World Computing","Community Wind","Other World Computing","Other World Computing","Other World Computing","Woodstock IL","1 MW",0.5,2009,Vestas,"In Service","42.2811°, -88.4172°"
"Otis Wind Energy Project","Otis Wind Energy Project",,,,,"Berkshire County, MA","1.5 MW",1,2017,Vensys,,"42.2258°, -73.0258°"
